No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
1148,    'not included in iLL672',YEL014C,,,,,,12,H,8,YEL014C,,"biological_process unknown, molecular_function unknown, "
1149,    'not included in iLL672',YEL015W,,,,,,12,H,9,YEL015W,,"biological_process unknown, molecular_function unknown, "
1150,    'not included in iLL672',YEL016C,,,,,,12,H,10,YEL016C,,"biological_process unknown, molecular_function unknown, "
1151,    'part of iLL672',YEL017C-A,,,,,,12,H,11,YEL017C-A,PMP2,Proteolipid associated with plasma membrane H(+)-ATPase (Pma1p) 
1152,    'not included in iLL672',YEL017W,,,,,,12,H,12,YEL017W,,"biological_process unknown, molecular_function unknown, "
1153,    'not included in iLL672',YEL018W,,,,,,13,A,1,YEL018W,,"biological_process unknown, molecular_function unknown, "
1154,    'not included in iLL672',YEL020C,,,,,,13,A,2,YEL020C,,"biological_process unknown, molecular_function unknown, "
1155,    'not included in iLL672',YEL023C,,,,,,13,A,3,YEL023C,,"biological_process unknown, molecular_function unknown, "
1156,    'part of iLL672',YEL024W,0,0,0,0,0,13,A,4,YEL024W,RIP1,"Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex,ubiquinol-cytochrome-c reductase, "
1157,    'not included in iLL672',YEL025C,,,,,,13,A,5,YEL025C,SRI1,"SWI SNF and RSC interacting protein 1, biological_process unknown, molecular_function unknown, "
1158,    'not included in iLL672',YEL027W,,,,,0,13,A,6,YEL027W,"CUP5, CLS7, GEF2, VMA3","vacuolar ATPase V0 domain subunit c (17 kDa), endocytosis*, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V0 domain"
1159,    'not included in iLL672',YEL028W,,,,,,13,A,7,YEL028W,,"biological_process unknown, molecular_function unknown, "
1160,    'not included in iLL672',YEL029C,,,0,0,0,13,A,8,YEL029C,BUD16,"biological_process unknown, molecular_function unknown, "
1161,    'not included in iLL672',YEL030W,,,,,,13,A,9,YEL030W,ECM10,"similar to Hsp70, involved in cell wall biogenesis "
1162,    'not included in iLL672',YEL031W,,,,,,13,A,10,YEL031W,SPF1,"P-type ATPase, transport,"
1163,    'not included in iLL672',YEL033W,,,,,,13,A,11,YEL033W,,"biological_process unknown, molecular_function unknown, "
1164,    'not included in iLL672',YEL036C,,,0,0,0,13,A,12,YEL036C,"ANP1, GEM3, MNN8","subunit of mannosyltransferase complex, protein glycosylation,"
1165,    'not included in iLL672',YEL037C,,,,,,13,B,1,YEL037C,RAD23,"ubiquitin-like protein, nucleotide-excision repair, damaged DNA binding, repairosome*"
1166,    'not included in iLL672',YEL038W,,,,,,13,B,2,YEL038W,UTR4,"biological_process unknown, molecular_function unknown, "
1167,    'not included in iLL672',YEL039C,,,,,,13,B,3,YEL039C,CYC7,"iso-2-cytochrome c, respiration,"
1168,    'not included in iLL672',YEL040W,,,,,,13,B,4,YEL040W,UTR2,"biological_process unknown, molecular_function unknown, "
1169,    'part of iLL672',YEL041W,,,,,,13,B,5,YEL041W,,"biological_process unknown, molecular_function unknown, "
1170,    'not included in iLL672',YEL042W,,,,,,13,B,6,YEL042W,GDA1,"Guanosine diphosphatase of Golgi membrane,guanosine-diphosphatase, "
1171,    'not included in iLL672',YEL043W,,,,,,13,B,7,YEL043W,,"biological_process unknown, molecular_function unknown, "
1172,    'not included in iLL672',YEL044W,,,,,,13,B,8,YEL044W,,"biological_process unknown, molecular_function unknown, "
1173,    'not included in iLL672',YEL045C,,,,,,13,B,9,YEL045C,,"biological_process unknown, molecular_function unknown, "
1174,    'part of iLL672',YEL046C,,,,,,13,B,10,YEL046C,GLY1,"Threonine Aldolase,threonine aldolase, "
1175,    'part of iLL672',YEL047C,,,,,,13,B,11,YEL047C,,"biological_process unknown,"
1176,    'not included in iLL672',YEL048C,,,,,,13,B,12,YEL048C,,"biological_process unknown, molecular_function unknown, "
1177,    'not included in iLL672',YEL049W,,,,,,13,C,1,YEL049W,PAU2,"similar to members of the seripauperin (PAU) family, biological_process unknown, molecular_function unknown, "
1178,    'not included in iLL672',YEL050C,,,0,0,0,13,C,2,YEL050C,RML2,"mitochondrial ribosomal protein L2 of the large subunit, protein biosynthesis*, structural protein of ribosome, mitochondrial large ribosomal-subunit"
1179,    'not included in iLL672',YEL051W,,,,,,13,C,3,YEL051W,VMA8,"vacuolar ATPase V1 domain subunit D, vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V1 domain"
1180,    'not included in iLL672',YEL052W,,,,,,13,C,4,YEL052W,AFG1,"ATPase family gene, biological_process unknown, adenosinetriphosphatase, cellular_component unknown"
1181,    'not included in iLL672',YEL053C,,,,,,13,C,5,YEL053C,MAK10,"glucose-repressible protein required for replication of dsRNA virus,molecular_function unknown, "
1182,    'not included in iLL672',YEL054C,,,,,,13,C,6,YEL054C,RPL12A,"Ribosomal protein L12A (L15A) (YL23), protein biosynthesis*, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
1183,    'not included in iLL672',YEL056W,,,,,,13,C,7,YEL056W,HAT2,"subunit of a cytoplasmic histone acetyltransferase, chromatin assembly/disassembly, H3/H4 histone acetyltransferase, cytoplasm"
1184,    'not included in iLL672',YEL057C,,,,,,13,C,8,YEL057C,,"biological_process unknown, molecular_function unknown, "
1185,    'not included in iLL672',YEL059W,,,,,,13,C,9,YEL059W,,"biological_process unknown, molecular_function unknown, "
1186,    'not included in iLL672',YEL060C,,,,,,13,C,10,YEL060C,"PRB1, CVT1","vacuolar protease B,cerevisin,"
1187,    'not included in iLL672',YEL061C,,,,,,13,C,11,YEL061C,"CIN8, KSL2, SDS15","kinesin-related protein involved in establishment and maintenance of mitotic spindle, mitotic chromosome segregation*, microtubule motor, kinesin*"
1188,    'not included in iLL672',YEL062W,,,,,,13,C,12,YEL062W,NPR2,"Non-membrane-embedded, PEST sequence-containing protein,transcription factor, "
1189,    'part of iLL672',YEL063C,,,,,,13,D,1,YEL063C,CAN1,"arginine permease, transport, basic amino acid permease, "
1190,    'not included in iLL672',YEL064C,,,,,,13,D,2,YEL064C,,"similar to amino acid transport proteins, biological_process unknown, molecular_function unknown, "
1191,    'not included in iLL672',YEL065W,,,,,,13,D,3,YEL065W,SIT1,"Ferrioxamine B permease, transport,"
1192,    'not included in iLL672',YEL066W,,,,,,13,D,4,YEL066W,HPA3,histone acetyltransferase complex subunit 
1193,    'not included in iLL672',YEL067C,,,,,,13,D,5,YEL067C,,"biological_process unknown, molecular_function unknown, "
1194,    'not included in iLL672',YEL068C,,,,,,13,D,6,YEL068C,,"biological_process unknown, molecular_function unknown, "
1195,    'part of iLL672',YEL071W,,,,,,13,D,7,YEL071W,DLD3,"D-lactate dehydrogenase, lactate metabolism, D-lactate dehydrogenase (cytochrome), soluble fraction"
1196,    'not included in iLL672',YEL072W,,,,,,13,D,8,YEL072W,,"biological_process unknown, molecular_function unknown, "
1197,    'not included in iLL672',YER001W,,,,,,13,D,9,YER001W,MNN1,"Alpha-1,3-mannosyltransferase, O-linked glycosylation*, alpha-1,3-mannosyltransferase, Golgi apparatus"
1198,    'not included in iLL672',YER002W,,,,,,13,D,10,YER002W,,"biological_process unknown, molecular_function unknown, nucleus*"
1199,    'not included in iLL672',YER004W,,,,,,13,D,11,YER004W,,"biological_process unknown, molecular_function unknown, "
1200,    'not included in iLL672',YER005W,,,,,,13,D,12,YER005W,"YND1, YEJ5",apyrase (NDPase NTPase) 
1201,    'not included in iLL672',YER007C-A,,,,,,13,E,1,YER007C-A,,"biological_process unknown, molecular_function unknown, "
1202,    'not included in iLL672',YER007W,,,,,,13,E,2,YER007W,PAC2,"(putative) tubulin cofactor E, involved in microtubule stability, post-chaperonine tubulin folding pathway*, cochaperone, cytoplasm"
1203,    'not included in iLL672',YER010C,,,,,,13,E,3,YER010C,,"biological_process unknown, molecular_function unknown, "
1204,    'not included in iLL672',YER011W,,,,,,13,E,4,YER011W,TIR1,"Cold-shock induced protein of the Srp1p Tip1p family of serine-alanine-rich proteins, cell wall organization and biogenesis*, cell wall structural protein, cell wall"
1205,    'not included in iLL672',YER014C-A,,,,,,13,E,5,YER014C-A,BUD25,"bud site selection, biological_process unknown, molecular_function unknown, cellular_component unknown"
1206,    'not included in iLL672',YER016W,,,,,,13,E,6,YER016W,"BIM1, YEB1","microtubule-binding protein, microtubule nucleation*, structural protein of cytoskeleton, spindle pole body*"
1207,    'not included in iLL672',YER017C,,,0,0,0,13,E,7,YER017C,"AFG3, YTA10","ATP-dependent metalloprotease, protein complex assembly*, adenosinetriphosphatase*, mitochondrial inner membrane"
1208,    'not included in iLL672',YER019W,,,,,,13,E,8,YER019W,ISC1,"InositolphosphoSphingolipids-phospholipase C, phospholipid metabolism, phospholipase C, "
1209,    'not included in iLL672',YER019C-A,,,,,,13,E,9,YER019C-A,"SBH2, SEB2","homologous to Sbh1p, co-translational membrane targeting, protein transporter, translocon"
1210,    'not included in iLL672',YER020W,,,,,,13,E,10,YER020W,"GPA2, SSP101","nucleotide binding regulatory protein, pseudohyphal growth*, heterotrimeric G-protein GTPase, cellular_component unknown"
1211,    'not included in iLL672',YER024W,,,,,,13,E,11,YER024W,,"biological_process unknown, molecular_function unknown, "
1212,    'not included in iLL672',YER030W,,,,,,13,E,12,YER030W,,"biological_process unknown, molecular_function unknown, "
1213,    'not included in iLL672',YER032W,,,,,,13,F,1,YER032W,"FIR1, PIP1","Putative participant in 3' mRNA processing, mRNA polyadenylation, molecular_function unknown, cellular_component unknown"
1214,    'not included in iLL672',YER033C,,,,,,13,F,2,YER033C,ZRG8,"zinc regulated gene, biological_process unknown, molecular_function unknown, "
1215,    'not included in iLL672',YER034W,,,,,,13,F,3,YER034W,,"biological_process unknown, molecular_function unknown, "
1216,    'not included in iLL672',YER035W,,,,,,13,F,4,YER035W,EDC2,"Functions with Edc1p to stimulate mRNA decapping, mRNA processing, molecular_function unknown, "
1217,    'not included in iLL672',YER038W-A,,,,,,13,F,5,YER038W-A,,
1218,    'not included in iLL672',YER039C,,,,,,13,F,6,YER039C,"HVG1, YEM9",(putative) nucleotide sugar transporter 
1219,    'not included in iLL672',YER040W,,,,,,13,F,7,YER040W,GLN3,"Transcriptional activator of nitrogen-regulated genes,transcription factor, "
1220,    'not included in iLL672',YER041W,,,,,,13,F,8,YER041W,YEN1,"biological_process unknown, molecular_function unknown, "
1221,    'not included in iLL672',YER042W,,,,,,13,F,9,YER042W,"MXR1, MSRA","peptide methionine sulfoxide reductase, oxidative stress response, protein-methionine-S-oxide reductase, cellular_component unknown"
1222,    'not included in iLL672',YER044C-A,,,,,,13,F,10,YER044C-A,MEI4,"mRNA is meiosis-specific and has 88 bp intron at 5' end spliced independently of MER1.,molecular_function unknown, "
1223,    'not included in iLL672',YER045C,,,,,,13,F,11,YER045C,ACA1,"biological_process unknown, molecular_function unknown, "
1224,    'not included in iLL672',YER046W-A,,,,,,13,F,12,YER046W-A,,
1225,    'not included in iLL672',YER047C,,,,,,13,G,1,YER047C,SAP1,member of the AAA ATPase family of proteins 
1226,    'not included in iLL672',YER048C,,,,,,13,G,2,YER048C,CAJ1,"homologous to E. coli DnaJ, biological_process unknown, molecular_function unknown, "
1227,    'not included in iLL672',YER049W,,,,,,13,G,3,YER049W,,"biological_process unknown, molecular_function unknown, cellular_component unknown"
1228,    'not included in iLL672',YER050C,,,0,0,0,13,G,4,YER050C,RSM18,protein of the small subunit of the mitochondrial ribosome 
1229,    'not included in iLL672',YER051W,,,,,,13,G,5,YER051W,,"biological_process unknown, molecular_function unknown, "
1230,    'part of iLL672',YER052C,0,0,0,0,0,13,G,6,YER052C,"HOM3, BOR1, SIL4","Aspartate kinase (L-aspartate 4-P-transferase) (EC 2.7.2.4),aspartate kinase,"
1231,    'not included in iLL672',YER053C,,,,,,13,G,7,YER053C,,"biological_process unknown, inorganic phosphate transporter, vacuole"
1232,    'not included in iLL672',YER054C,,,,,,13,G,8,YER054C,GIP2,"(putative) regulator of Glc7, a PP1 family protein phosphatase "
1233,    'part of iLL672',YER056C,,,,,,13,G,9,YER056C,"FCY2, BRA7","purine-cytosine permease, transport,"
1234,    'not included in iLL672',YER056C-A,,,,,,13,G,10,YER056C-A,RPL34A,"Ribosomal protein L34A, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
1235,    'not included in iLL672',YER057C,0,0,0,,,13,G,11,YER057C,HIG1,"heat-regulated protein, heat shock response,"
1236,    'not included in iLL672',YER058W,,,0,0,0,13,G,12,YER058W,PET117,"cytochrome c oxidase assembly factor, cytochrome c oxidase biogenesis, molecular_function unknown, mitochondrial inner membrane"
1237,    'not included in iLL672',YER059W,,,,,,13,H,1,YER059W,PCL6,"PHO85 cyclin, cell cycle,"
1238,    'part of iLL672',YER060W,,,,,,13,H,2,YER060W,FCY21,"purine-cytosine permease, transport,"
1239,    'part of iLL672',YER060W-A, , , , , ,13,H,3,YER060W-A,FCY22,"purine-cytosine permease, transport,"
1240,    'part of iLL672',YER061C,,,, ,,13,H,4,YER061C,CEM1,"Protein homologous to beta-keto-acyl synthase, hexadecanal biosynthesis, 3-oxoacyl-[acyl-carrier protein] synthase, mitochondrion"
1241,    'part of iLL672',YER062C,,,,,,13,H,5,YER062C,"HOR2, GPP2","DL-glycerol-3-phosphatase, osmotic response*, glycerol-1-phosphatase, cellular_component unknown"
1242,    'part of iLL672',YER065C,,,,,0,13,H,6,YER065C,ICL1,"isocitrate lyase,isocitrate lyase, "
1243,    'not included in iLL672',YER066C-A,,,,,,13,H,7,YER066C-A,,"biological_process unknown, molecular_function unknown, "
1244,    'not included in iLL672',YER067W,,,,,,13,H,8,YER067W,,"biological_process unknown, molecular_function unknown, "
1245,    'not included in iLL672',YER067C-A,,,,,,13,H,9,YER067C-A,,
1246,    'not included in iLL672',YER068W,,,,,,13,H,10,YER068W,"MOT2, NOT4, SIG1","putative zinc finger protein, mating (sensu Saccharomyces),"
1247,    'not included in iLL672',YER068C-A,0,m,0,m,0,13,H,11,YER068C-A,,
1248,    'part of iLL672',YER069W,0,0,,,0,13,H,12,YER069W,"ARG5, 6","N-acetyl-gamma-glutamyl-phosphate reductase and acetylglutamate kinase, ornithine biosynthesis, N-acetyl-gamma-glutamyl-phosphate reductase*, mitochondrial matrix"
1249,    'part of iLL672',YER070W,,,0,0,0,14,A,1,YER070W,"RNR1, CRT7, RIR1, SDS12","ribonucleotide reductase, DNA replication, ribonucleoside-diphosphate reductase, cytosol"
1250,    'not included in iLL672',YER071C,,,,,,14,A,2,YER071C,,"biological_process unknown, molecular_function unknown, "
1251,    'not included in iLL672',YER072W,,,,,,14,A,3,YER072W,"VTC1, NRF1, PHM4",Homolog of S. pombe nrf1 (78% identical in predicted amino acid sequence) 
1252,    'part of iLL672',YER073W,,,,,,14,A,4,YER073W,ALD5,"mitochondrial Aldehyde Dehydrogenase, metabolism, aldehyde dehydrogenase, mitochondrion"
1253,    'not included in iLL672',YER074W,,,,,,14,A,5,YER074W,"RPS24A, RPS24EA","40S ribosomal protein S24A, protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
1254,    'not included in iLL672',YER075C,,,,,,14,A,6,YER075C,PTP3,"Protein tyrosine phosphatase,protein tyrosine phosphatase, "
1255,    'not included in iLL672',YER079W,,,,,,14,A,7,YER079W,,"biological_process unknown, molecular_function unknown, "
1256,    'not included in iLL672',YER080W,,,,,,14,A,8,YER080W,,"biological_process unknown, molecular_function unknown, "
1257,    'part of iLL672',YER081W,,,,,,14,A,9,YER081W,SER3,"3-phosphoglycerate dehydrogenase, serine biosynthesis, phosphoglycerate dehydrogenase, cellular_component unknown"
1258,    'not included in iLL672',YER083C,,,,,,14,A,10,YER083C,,"biological_process unknown, molecular_function unknown, "
1259,    'not included in iLL672',YER084W,,,,,,14,A,11,YER084W,,"biological_process unknown, molecular_function unknown, "
1260,    'not included in iLL672',YER085C,,,,,,14,A,12,YER085C,,"biological_process unknown, molecular_function unknown, "
1261,    'part of iLL672',YER086W,0,0,0,0,0,14,B,1,YER086W,"ILV1, ISO1","threonine deaminase,threonine dehydratase,"
1262,    'not included in iLL672',YER087C-A,,,,,,14,B,2,YER087C-A,"SBH1, SEB1","homologous to Sbh2p, co-translational membrane targeting, protein transporter, translocon"
1263,    'not included in iLL672',YHL047C,,,,,,14,B,3,YHL047C,TAF1,Triacetylfusarinine C transporter 
1264,    'not included in iLL672',YHL046C,,,,,,14,B,4,YHL046C,,"biological_process unknown, molecular_function unknown, "
1265,    'not included in iLL672',YHL045W,,,,,,14,B,5,YHL045W,,"biological_process unknown, molecular_function unknown, "
1266,    'not included in iLL672',YHL044W,,,,,,14,B,6,YHL044W,,"biological_process unknown, molecular_function unknown, "
1267,    'not included in iLL672',YHL043W,,,,,,14,B,7,YHL043W,ECM34,"involved in cell wall biogenesis,molecular_function unknown, "
1268,    'not included in iLL672',YHL042W,,,,,,14,B,8,YHL042W,,"biological_process unknown, molecular_function unknown, "
1269,    'not included in iLL672',YHL041W,,,,,,14,B,9,YHL041W,,"biological_process unknown, molecular_function unknown, "
1270,    'not included in iLL672',YHL040C,,,,,,14,B,10,YHL040C,ARN1,"iron-siderophore transport, iron-siderophore transporter, cytoplasmic vesicle"
1271,    'not included in iLL672',YHL038C,,,0,0,0,14,B,11,YHL038C,CBP2,Cytochrome B pre-mRNA processing protein 
1272,    'not included in iLL672',YHL037C,,,,,,14,B,12,YHL037C,,"biological_process unknown, molecular_function unknown, "
1273,    'part of iLL672',YHL036W,,,,,,14,C,1,YHL036W,MUP3,"very low affinity methionine permease, transport,"
1274,    'not included in iLL672',YHL035C,,,,,,14,C,2,YHL035C,,"ABC transporter, biological_process unknown, molecular_function unknown, "
1275,    'not included in iLL672',YHL034C,,,,,,14,C,3,YHL034C,"SBP1, SSBR1","Single-strand nucleic acid binding protein, RNA processing,"
1276,    'not included in iLL672',YHL033C,,,,,,14,C,4,YHL033C,"RPL8A, MAK7","Ribosomal protein L8A (rp6) (YL5) (L4A), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
1277,    'part of iLL672',YHL032C,,,,,,14,C,5,YHL032C,GUT1,"glyerol kinase (converts glycerol to glycerol-3-phosphate,glycerol kinase, "
1278,    'not included in iLL672',YHL031C,,,,,,14,C,6,YHL031C,GOS1,"Golgi SNARE protein, non-selective vesicle fusion*, v-SNARE, inter-Golgi transport vesicle"
1279,    'not included in iLL672',YHL030W,,,,, ,14,C,7,YHL030W,ECM29,"involved in cell wall biogenesis,molecular_function unknown, "
1280,    'not included in iLL672',YHL029C,,,,,,14,C,8,YHL029C,,"biological_process unknown, molecular_function unknown, "
1281,    'not included in iLL672',YHL028W,,,,,,14,C,9,YHL028W,"WSC4, YHC8","Putative integral membrane protein containing novel cysteine motif. Similarity to SLG1 (WSC1), WSC2 and WSC3, cell wall organization and biogenesis*, molecular_function unknown, membrane fraction"
1282,    'not included in iLL672',YHL027W,,,,,,14,C,10,YHL027W,RIM101,"Meiotic regulatory protein; Cys-His zinc fingers, meiosis, transcription factor, "
1283,    'not included in iLL672',YHL026C,,,,,,14,C,11,YHL026C,,"biological_process unknown, molecular_function unknown, "
1284,    'not included in iLL672',YHL023C,,,,,,14,C,12,YHL023C,,"biological_process unknown, molecular_function unknown, "
1285,    'not included in iLL672',YHL022C,,,,,,14,D,1,YHL022C,SPO11,Encodes one of the earliest meiosis-specific recombination functions. 
1286,    'not included in iLL672',YHL021C,,,,,,14,D,2,YHL021C,,"biological_process unknown, molecular_function unknown, "
